,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,54204.9055407187,7613.249442980887,3254.13251738708,1875.9845950142765,2101.2625777231483,2762.0619252095007,413.19322680906583,51089.78844089289,349.7884204856074,13740.485187469016
ODE-SR,54204.9055407187,7613.249442980887,3254.13251738708,1875.9845950142765,2101.2625777231483,2762.0619252095007,413.19322680906583,51089.78844089289,349.7884204856074,13740.485187469016
ODE-DE,11153.187886799511,10317.434322543566,200.99729492783231,133.15078350329367,155.15078158785536,230.72233921796052,40.71297640909384,1353.2690010012932,42.12783044924882,2625.194801826628
