,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.6098181459686872,0.3716681040314825,0.7768280060604154,0.7141167091793972,0.7051216703768954,0.8242500522857358,0.7737700876574266,0.6206544103320483,0.8636751123101417,0.6955446998002478
ODE-SR,0.6098181459686872,0.3716681040314825,0.7768280060604154,0.7141167091793972,0.7051216703768954,0.8242500522857358,0.7737700876574266,0.6206544103320483,0.8636751123101417,0.6955446998002478
ODE-DE,0.12547603009213396,0.5036825972731677,0.04798216637093156,0.050685490484694964,0.05206402066706556,0.06885178729273665,0.07624152885598097,0.0164399266363926,0.10401933444258968,0.11616032023507707
