S,S^2,A,Y,B
0.56027386,0.3139067981992996,0.0,0.0,0.48930433
0.56027386,0.3139067981992996,0.0015351422222222222,0.0,0.48938718
0.56027386,0.3139067981992996,0.0030702844444444443,0.0,0.48946992
0.56027386,0.3139067981992996,0.0046054266666666665,0.0,0.48955277
0.56027386,0.3139067981992996,0.006140568888888889,0.0,0.4896356
0.56027386,0.3139067981992996,0.007675711111111111,0.0,0.4897184
0.56027386,0.3139067981992996,0.009210853333333333,0.0,0.48980123
0.56027386,0.3139067981992996,0.010745995555555554,0.0,0.489884
0.56027386,0.3139067981992996,0.012281137777777777,0.0,0.4899668
0.56027386,0.3139067981992996,0.013816279999999998,0.0,0.49004957
0.6089100977777778,0.370771507175743,0.0,0.0,0.49108973
0.6089100977777778,0.370771507175743,0.0015351422222222222,0.0,0.49117252
0.6089100977777778,0.370771507175743,0.0030702844444444443,0.0,0.49125537
0.6089100977777778,0.370771507175743,0.0046054266666666665,0.0,0.4913382
0.6089100977777778,0.370771507175743,0.006140568888888889,0.0,0.491421
0.6089100977777778,0.370771507175743,0.007675711111111111,0.0,0.49150383
0.6089100977777778,0.370771507175743,0.009210853333333333,0.0,0.4915867
0.6089100977777778,0.370771507175743,0.010745995555555554,0.0,0.49166942
0.6089100977777778,0.370771507175743,0.012281137777777777,0.0,0.49175233
0.6089100977777778,0.370771507175743,0.013816279999999998,0.0,0.49183512
0.6575463355555555,0.4323671834025392,0.0,0.0,0.49319425
0.6575463355555555,0.4323671834025392,0.0015351422222222222,0.0,0.4932699
0.6575463355555555,0.4323671834025392,0.0030702844444444443,0.0,0.4933455
0.6575463355555555,0.4323671834025392,0.0046054266666666665,0.0,0.49342117
0.6575463355555555,0.4323671834025392,0.006140568888888889,0.0,0.49349678
0.6575463355555555,0.4323671834025392,0.007675711111111111,0.0,0.49357238
0.6575463355555555,0.4323671834025392,0.009210853333333333,0.0,0.49364802
0.6575463355555555,0.4323671834025392,0.010745995555555554,0.0,0.49372366
0.6575463355555555,0.4323671834025392,0.012281137777777777,0.0,0.49379924
0.6575463355555555,0.4323671834025392,0.013816279999999998,0.0,0.49387494
0.7061825733333333,0.4986938268796887,0.0,0.0,0.49766192
0.7061825733333333,0.4986938268796887,0.0015351422222222222,0.0,0.4977674
0.7061825733333333,0.4986938268796887,0.0030702844444444443,0.0,0.49788475
0.7061825733333333,0.4986938268796887,0.0046054266666666665,0.0,0.49800208
0.7061825733333333,0.4986938268796887,0.006140568888888889,0.0,0.4981194
0.7061825733333333,0.4986938268796887,0.007675711111111111,0.0,0.49823675
0.7061825733333333,0.4986938268796887,0.009210853333333333,0.0,0.49835402
0.7061825733333333,0.4986938268796887,0.010745995555555554,0.0,0.4984714
0.7061825733333333,0.4986938268796887,0.012281137777777777,0.0,0.49858874
0.7061825733333333,0.4986938268796887,0.013816279999999998,0.0,0.49870607
0.7548188111111112,0.5697514376071913,0.0,0.0,0.5139523
0.7548188111111112,0.5697514376071913,0.0015351422222222222,0.0,0.5141521
0.7548188111111112,0.5697514376071913,0.0030702844444444443,0.0,0.51434696
0.7548188111111112,0.5697514376071913,0.0046054266666666665,0.0,0.514541
0.7548188111111112,0.5697514376071913,0.006140568888888889,0.0,0.5147351
0.7548188111111112,0.5697514376071913,0.007675711111111111,0.0,0.5149292
0.7548188111111112,0.5697514376071913,0.009210853333333333,0.0,0.51512325
0.7548188111111112,0.5697514376071913,0.010745995555555554,0.0,0.5153173
0.7548188111111112,0.5697514376071913,0.012281137777777777,0.0,0.51551133
0.7548188111111112,0.5697514376071913,0.013816279999999998,0.0,0.51570547
0.803455048888889,0.6455400155850469,0.0,0.0,0.5389744
0.803455048888889,0.6455400155850469,0.0015351422222222222,0.0,0.53917503
0.803455048888889,0.6455400155850469,0.0030702844444444443,0.0,0.53937566
0.803455048888889,0.6455400155850469,0.0046054266666666665,0.0,0.5395763
0.803455048888889,0.6455400155850469,0.006140568888888889,0.0,0.5397769
0.803455048888889,0.6455400155850469,0.007675711111111111,0.0,0.5399775
0.803455048888889,0.6455400155850469,0.009210853333333333,0.0,0.54017806
0.803455048888889,0.6455400155850469,0.010745995555555554,0.0,0.54037863
0.803455048888889,0.6455400155850469,0.012281137777777777,0.0,0.54057914
0.803455048888889,0.6455400155850469,0.013816279999999998,0.0,0.5407797
0.8520912866666667,0.7260595608132555,0.0,0.0,0.56507725
0.8520912866666667,0.7260595608132555,0.0015351422222222222,0.0,0.56529826
0.8520912866666667,0.7260595608132555,0.0030702844444444443,0.0,0.5655192
0.8520912866666667,0.7260595608132555,0.0046054266666666665,0.0,0.5657401
0.8520912866666667,0.7260595608132555,0.006140568888888889,0.0,0.56596106
0.8520912866666667,0.7260595608132555,0.007675711111111111,0.0,0.56618196
0.8520912866666667,0.7260595608132555,0.009210853333333333,0.0,0.5664028
0.8520912866666667,0.7260595608132555,0.010745995555555554,0.0,0.5666236
0.8520912866666667,0.7260595608132555,0.012281137777777777,0.0,0.56684446
0.8520912866666667,0.7260595608132555,0.013816279999999998,0.0,0.5670653
0.9007275244444445,0.8113100732918174,0.0,0.0,0.59174895
0.9007275244444445,0.8113100732918174,0.0015351422222222222,0.0,0.59195507
0.9007275244444445,0.8113100732918174,0.0030702844444444443,0.0,0.5921611
0.9007275244444445,0.8113100732918174,0.0046054266666666665,0.0,0.5923671
0.9007275244444445,0.8113100732918174,0.006140568888888889,0.0,0.5925731
0.9007275244444445,0.8113100732918174,0.007675711111111111,0.0,0.5927791
0.9007275244444445,0.8113100732918174,0.009210853333333333,0.0,0.59298503
