,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,45408.85210720778,7002.950067703015,2690.7881449175034,1737.465043137913,1838.4336008621049,2082.419175678778,204.46733884104563,45586.27081339751,296.15844899516213,11871.978304526758
ODE-SR,45408.85210720778,7002.950067703015,2690.7881449175034,1737.465043137913,1838.4336008621049,2082.419175678778,204.46733884104563,45586.27081339751,296.15844899516213,11871.978304526758
ODE-DE,11153.187886799511,10317.434322543566,200.99729492783231,133.15078350329367,155.15078158785536,230.72233921796052,40.71297640909384,1353.2690010012932,42.12783044924882,2625.194801826628
