,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.5108604419904798,0.34187414897983864,0.6423461792593705,0.6613875306958177,0.6169240271349345,0.6214321622437416,0.38289763827911166,0.5537959912216035,0.7312554296176843,0.5625303943802868
ODE-SR,0.5108604419904798,0.34187414897983864,0.6423461792593705,0.6613875306958177,0.6169240271349345,0.6214321622437416,0.38289763827911166,0.5537959912216035,0.7312554296176843,0.5625303943802868
ODE-DE,0.12547603009213396,0.5036825972731677,0.04798216637093156,0.050685490484694964,0.05206402066706556,0.06885178729273665,0.07624152885598097,0.0164399266363926,0.10401933444258968,0.11616032023507707
