,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,36788.738504904984,1929.6392654492743,1827.3052826315193,1190.1862087146553,1194.5326906815621,1698.5341430027656,168.8350739388663,33520.12736809874,227.31478743795896,8727.245924984483
ODE-SR,36788.738504904984,1929.6392654492743,1827.3052826315193,1190.1862087146553,1194.5326906815621,1698.5341430027656,168.8350739388663,33520.12736809874,227.31478743795896,8727.245924984483
ODE-DE,14204.62133686142,11418.431732834477,175.13713596334338,159.3411583235274,145.6891668358816,244.27929634032063,176.5457124523465,3165.099390027952,46.01574398612105,3303.906741513932
