,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.41994838652677396,0.0880993135848639,0.402460601122866,0.42537033906885463,0.36600940374269086,0.4761800232696287,0.29379653237621745,0.401283263982794,0.498497340872717,0.37462724494971184
ODE-SR,0.41994838652677396,0.0880993135848639,0.402460601122866,0.42537033906885463,0.36600940374269086,0.4761800232696287,0.29379653237621745,0.401283263982794,0.498497340872717,0.37462724494971184
ODE-DE,0.162147658606,0.5213181633947166,0.03857362953454447,0.05694823385401265,0.04463972020300733,0.0684831220466276,0.30721411679642663,0.03789070966565384,0.10091171926780933,0.14868078592986647
