,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,45071.15032664911,6620.59754637577,2653.2314557561613,1691.9633019203684,1715.7076872809191,2087.3409360711075,233.1461912396205,44307.22247805555,292.7883058960264,11630.349803249404
ODE-SR,45071.15032664911,6620.59754637577,2653.2314557561613,1691.9633019203684,1715.7076872809191,2087.3409360711075,233.1461912396205,44307.22247805555,292.7883058960264,11630.349803249404
ODE-DE,11900.204912594936,11294.947144630647,251.24075710916588,176.06621332728727,242.59743127494608,351.95308306306345,167.50954625761392,1700.8445973287198,42.36711788162641,2903.081200385334
