,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.5031385390338146,0.2856168052793689,0.5455956108896075,0.5687271603093675,0.4804558071355136,0.536177995394582,0.3570385777023285,0.5168891666731477,0.6310092799483327,0.4916276602628959
ODE-SR,0.5031385390338146,0.2856168052793689,0.5455956108896075,0.5687271603093675,0.4804558071355136,0.536177995394582,0.3570385777023285,0.5168891666731477,0.6310092799483327,0.4916276602628959
ODE-DE,0.132844439747655,0.48727123143359136,0.05166373783861112,0.05918192044614698,0.06793543300894597,0.09040664861625057,0.25652304174213464,0.01984209565357412,0.09130844371040175,0.1396641102441457
